ogindex,label,text
6200,1,"once i’m 18 i’m gonna be able to get lip filler and a nose job and then i’ll be able to be free and be myself. being able to look in the mirror take videos and pictures without feeling disgusted will make me feel so happy. i’m going to get a job over the summer and save up so i can pay for it right away! i’m 16 right now my birthday is October 16th! it is a bit far away but my goal is within sight. 

i can’t wait to feel how it feels to have no pressure on my chest 24/7 thinking about how ugly i look. to be able to not drown immediately after i smile thinking about how ugly my smile is. to dress how i want and get a haircut because right now i feel stupid in every outfit because i feel as if i can’t pull it off bc i’m too ugly. i can’t wait till i turn 18, get the work done, and can start actually living my life."
9636,0,"I dont know if this will get removed I hope it doesnt. I live in shared housing with a bunch of girls/young women. Most of whom are, (as far as I know because they havent shared their medical history), in pretty good general health. But all i see in the kitchen is laxative icecream and brain bait-and-switch sweetener and that cooking spray that you have to spray 2000 times to cook anything. And one knows I've struggled with DE and yet she feels the need to soapbox about doing le clean diet anyway.

I hate diet culture. That said, I don't hate the people who get sucked into it. My flatmates are just trying to live their lives without getting shamed or food-policed. But I hate it when people foist it on everyone else or deny that it's a thing or pass it off as something mundane like a ""lifestyle"".

I also hate Covid. That said, I don't hate the people who catch it and struggle with it. They lose their jobs and can't get furloughed and face domestic violence and need their neighbours' help to buy a pint of milk. But I hate it when people intentionally spread it around or claim it's a government conspiracy or something mundane like the flu. 

And as much as I hate the misuse of the concepts of an epidemic or pandemic, and don't want to sound like I'm mocking people who died or lost loved ones to Covid, I feel like, well, like there are more diet culture cases than Covid cases."
14039,0,"F nearing 30, 90 Kg, height is 1.68m. I would like to get somewhere between 62 and 70. 

I've decided to take it seriously, lose the weight and change the lifestyle before I am older and regret my choices.

I will not be very restrictive but rather monitor how much I eat (my problem is snacking + the size of my portions), using an app to track amount of calories and healthy levels of protein, fat and carbs. The amount of calories will be my basal metabolic rate which currently is around the 1,600 cal. 

I already exercise a few times a week, so I guess I should be good on that end. 

Wish me luck... any recommendations are welcome :)"
11515,0,"Every time I look up things like intuitive eating etc on youtube, it always shows super healthy (and thin) people who actually crave and actually eat a huge ""buddha bowl"" full of greens pretty much ALL of the time. Like yeah they talk about diet culture and how you should eat until you're satisfied and allow all foods and I really appreciate the message but they rarely actually show that part (except maybe getting an ice cream etc once in a while). Of course I know intuitive eating is about what makes you feel good and energised but it's just a bit discouraging when you're not there at all after almost a year of IE (and I never had an ED, I just got sick of trying to diet and restrict every few months which inevitably led to binges), like I look at them and I'm like I'm never going to be those people who eat greens every day because they want to and work out because they truly enjoy it... sometimes it feels like I'm just watching a random fitness/weight loss channel haha the transition just seems so out of reach for me.."
10524,0,"**Welcome to the r/BodyAcceptance Bi-weekly Body Dissatisfaction Post** for talking about your negative feelings about your body.  This post will be created on Mondays and Thursdays.

As this is a support sub, people may offer advice. If you would prefer to rant without getting advice, please start your comment with [RANT ONLY]. Others are asked to respect that the commenter does not want advice.

**Important: [Please read if you're feeling suicidal or that you may harm yourself]( 

[Why does this post exist?](

**All comments must follow [the rules of this sub]("
12829,0,"I feel so unmotivated recently. I can’t get any work done and everything I usually enjoy doing is just a chore. What can I do? This isn’t like me at all, I’m usually very active and ahead in my studies."
9406,0,"You can talk about whatever tf you want with regards to whatever illness you have and the only rule is you can't offer diet advice in response to that problem.

Edit/ ok I made /r/chronicallyantidiet! Pls join and I'll figure this all out in the morning :)"
9464,0,"Just got blocked, for the first time from anything I think, from the Facebook We're Stoned: Food group. A person posted about their weight change from food group cutting and was giving some disordered advice, so along with a few others I gave some gentle anti diet advice. Maybe the rules had something about disagreeing with posters but all I said is that cutting out whole food groups can lead to metabolic issues and it's better to add nutritious things to our diets, not take away. Blocked. This is a bummer because it was very civil, and gave perspective to the discussion. Everyone else was being cool, too. Lots of people out there are always just about to become victim to a diet, and I hope to plant the anti diet seed where I can. But I guess that advice wasn't welcome today."
9036,0,"I’m currently in a weird place where I don’t consciously hate anything of me (I’m ok with how I look, what I like, I don’t think I’m a bad person, I think some stuff I do is pretty cool, I like my personality etc.) However, I always catch myself avoiding mentioning what I like and prefer, trying to fit in badly with others or changing things of me (specially with the way I express/talk) to not be judged. Also I let others offend me without saying anything back and have a hard time setting me as a priority. 

If what makes me feel like I deserve those bad things is in my subconscious, how am I going to change it?"
9762,0,The first thing we’re doing is studying the BMI chart and finding our individual numbers and it’s fucking me up a bit. There’s also going to be discussion of obesity health risks and I’m trying to mentally prepare. It’s starting to make me want to go down a dieting whole or me beating myself up because I can never lose weight and I’ve “failed” at every attempt. Any help?
